ev_cat,number_of_articles
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license),2718
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),26235
oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),8942
oa repository (via pmcid lookup),2247
oa repository (via OAI-PMH doi match)&open (via crossref license),6224
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),885
"open (via crossref license, author manuscript)&open (via free pdf)",1389
oa repository (via OAI-PMH title and last author match)&open (via page says license),1611
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),316
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),9721
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),10195
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),5913
oa repository (via pmcid lookup)&open (via free pdf),3536
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via free pdf),4459
oa journal (via doaj)&oa repository (via pmcid lookup),566
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),4146
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),848
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),2191
oa journal (via publisher name),3051
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),12526
"open (via crossref license, author manuscript)&open (via page says license)",230
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),428
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),18848
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via free pdf)",284
oa repository (via OAI-PMH title match)&open (via free pdf),5356
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),3563
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),19554
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),156
oa repository (via pmcid lookup)&open (via page says Open Access),87
"open (via crossref license, author manuscript)&open (via page says Open Access)",168
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)&open (via free pdf)",38
oa repository (via OAI-PMH title and last author match)&open (via crossref license),916
"oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",1326
oa journal (via publisher name)&open (via free pdf),1898
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),5
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),241
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),1566
oa repository (via OAI-PMH title and last author match)&open (via free pdf),2529
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),3392
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),516
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),79
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says license),3197
oa journal (via doaj)&oa repository (via OAI-PMH title match),1103
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via free pdf),413
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),269
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via free pdf),510
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),4291
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),10689
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),120
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via page says license),3449
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),211
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),602
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),572
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via page says Open Access),1913
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says license),3925
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),391
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via page says license),2310
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says Open Access),1476
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),1735
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match),842
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),243
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says Open Access),776
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via free pdf),1161
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),109
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),1779
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says license),1097
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says Open Access),148
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),1869
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via page says license),325
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),57
oa repository (via pmcid lookup)&open (via page says license),920
oa journal (via issn in doaj),358
oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),114
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),423
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),307
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),306
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),638
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),302
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),1343
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)",2717
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),1433
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),568
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),1156
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),406
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),226
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),87
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),419
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),335
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),438
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),417
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),82
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),108
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),172
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",12
"oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",112
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),307
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),694
oa repository (via OAI-PMH title match)&open (via crossref license),326
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),118
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),1281
oa repository (via doi prefix)&open (via page says license),276
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),229
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via free pdf),306
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),149
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),533
oa journal (via publisher name)&oa repository (via OAI-PMH title match)&open (via page says license),23
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),33
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),197
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),392
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),154
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),38
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),546
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),320
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),573
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),317
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),4
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),45
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),83
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),58
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),29
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says Open Access),56
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),84
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),583
oa journal (via publisher name)&oa repository (via OAI-PMH title and last author match)&open (via page says license),47
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),221
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),2563
"oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",101
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),47
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),35
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),24
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),24
"oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",42
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),7
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),161
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),36
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),119
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),144
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),115
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),63
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),18
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),24
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),52
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),25
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),100
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),184
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),214
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),36
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via free pdf),28
