esac_publisher,esac_id,agreement,agreement_display,combined_agreement,metric,2019,2020,2021,2022,2023,2024,2025
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",TDM,NA,NA,NA,NA,1,1,1
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",ORCID,NA,NA,NA,NA,0.20660170160138175,0.21669410283722282,0.2630455774430282
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",ROR,NA,NA,NA,NA,0,0,0
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",Funder Info,NA,NA,NA,NA,0.47499499232155973,0.5168191777290888,0.6
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",Funder DOIs,NA,NA,NA,NA,0.9994368100923632,0.998252673938367,0.9957906931840124
Elsevier,els2023deal,DEAL (2023),Elsevier DEAL (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Elsevier</div><div style=""font-size:12px;"">DEAL (2023)</div></div>",Open Abstracts,NA,NA,NA,NA,8.012285504440141e-4,9.666194097177471e-4,7.547169811320754e-4
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",TDM,NA,NA,0,0,0,NA,NA
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",ORCID,NA,NA,0.10934891485809682,0.24165341812400637,0.4673060156931125,NA,NA
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",ROR,NA,NA,0,0,0,NA,NA
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",Funder Info,NA,NA,0,0,0,NA,NA
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",Funder DOIs,NA,NA,0,0,0,NA,NA
Hogrefe,hogrefe2021gac,SUB Göttingen (2021),Hogrefe SUB Göttingen (2021),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2021)</div></div>",Open Abstracts,NA,NA,0.7547683923705722,0.7620396600566572,0.7867867867867868,NA,NA
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",TDM,NA,NA,NA,NA,NA,0,0
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",ORCID,NA,NA,NA,NA,NA,0.47283406754772395,0.5478796169630643
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",ROR,NA,NA,NA,NA,NA,0,0
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",Funder Info,NA,NA,NA,NA,NA,0,0
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",Funder DOIs,NA,NA,NA,NA,NA,0,0
Hogrefe,hogrefe2024gac,SUB Göttingen (2024),Hogrefe SUB Göttingen (2024),"<div><div style=""font-weight:bold;font-size:14px;"">Hogrefe</div><div style=""font-size:12px;"">SUB Göttingen (2024)</div></div>",Open Abstracts,NA,NA,NA,NA,NA,0.7568306010928961,0.71571072319202
Optica,opg2023tib,TIB (2023),Optica TIB (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Optica</div><div style=""font-size:12px;"">TIB (2023)</div></div>",TDM,NA,NA,NA,NA,0,0,0
Optica,opg2023tib,TIB (2023),Optica TIB (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Optica</div><div style=""font-size:12px;"">TIB (2023)</div></div>",ORCID,NA,NA,NA,NA,0.4212218649517685,0.4437799043062201,0.43444730077120824
Optica,opg2023tib,TIB (2023),Optica TIB (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Optica</div><div style=""font-size:12px;"">TIB (2023)</div></div>",ROR,NA,NA,NA,NA,0.2084639498432602,0.2072892938496583,0.15584415584415584
Optica,opg2023tib,TIB (2023),Optica TIB (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Optica</div><div style=""font-size:12px;"">TIB (2023)</div></div>",Funder Info,NA,NA,NA,NA,0.8578431372549019,0.8507462686567164,0.9173553719008265
Optica,opg2023tib,TIB (2023),Optica TIB (2023),"<div><div style=""font-weight:bold;font-size:14px;"">Optica</div><div style=""font-size:12px;"">TIB (2023)</div></div>",Funder DOIs,NA,NA,NA,NA,0.9030303030303031,0.8922651933701657,0.8411214953271028
