name,rd_total,ed_total,na_total,rd_pct,ed_pct,na_pct
Scopus,22554028,1795987,354157,0.9129643365501179,0.07269974211755521,0.014335918073659807
OpenAlex (before),24559634,143999,539,0.9941492473417041,0.00582893424661913,2.1818176224740492e-5
OpenAlex (after),23663508,1030399,10265,0.9578749694586,0.041709512063286415,4.155168440640638e-4
