publication_year,esac_publisher,total_dois,author_position_pct,author_pct,institutions_pct,countries_pct,is_corresponding_pct,raw_author_name_pct,raw_affiliation_strings_pct,affiliations_pct,walden_author_position_pct,walden_author_pct,walden_institutions_pct,walden_countries_pct,walden_is_corresponding_pct,walden_raw_author_name_pct,walden_raw_affiliation_strings_pct,walden_affiliations_pct
2021,Taylor & Francis,138917,99.39,99.39,92.68,94.06,99.39,99.39,96.78,96.78,99.4,99.4,96.72,96.72,99.4,99.4,96.03,96.03
2022,Taylor & Francis,130293,99.44,99.44,92.82,94.2,99.44,99.44,96.78,96.78,99.45,99.45,96.77,96.77,99.45,99.45,96.19,96.19
2023,Taylor & Francis,122770,99.46,99.46,93.08,94.47,99.46,99.46,96.96,96.96,99.46,99.46,96.87,96.86,99.46,99.46,95.62,95.62
2024,Taylor & Francis,131139,99.46,99.46,93.68,95.03,99.46,99.46,96.59,96.59,99.47,99.47,96.03,96.03,99.47,99.47,95.79,95.79
2025,Taylor & Francis,107100,99.53,99.53,92.82,93.48,99.53,99.53,95.86,95.86,99.53,99.53,95.77,95.77,99.53,99.53,97.87,97.87
2018,The Royal Society,1729,99.83,99.83,99.25,99.71,99.83,99.83,99.77,99.77,99.88,99.88,94.91,94.91,99.88,99.88,92.08,92.08
2019,The Royal Society,1784,100,100,99.27,99.72,100,100,99.78,99.78,100,100,99.5,99.5,100,100,96.52,96.52
2020,The Royal Society,1908,99.9,99.9,98.69,99.16,99.9,99.9,99.53,99.53,100,100,98.79,98.79,100,100,96.23,96.23
2021,The Royal Society,1745,99.94,99.94,99.2,99.83,99.94,99.94,99.89,99.89,100,100,99.14,99.14,100,100,94.1,94.1
2022,The Royal Society,1649,100,100,99.51,99.88,100,100,100,100,100,100,99.7,99.7,100,100,95.03,95.03
2023,The Royal Society,1541,100,100,99.81,99.94,100,100,100,100,100,100,99.81,99.81,100,100,97.53,97.53
2024,The Royal Society,1500,100,100,99,99.8,100,100,99.93,99.93,100,100,99.07,99.07,100,100,98.13,98.13
2025,The Royal Society,1254,100,100,98.48,99.04,100,100,99.76,99.76,100,100,98.96,98.96,100,100,99.44,99.44
2018,Walter de Gruyter,15444,96.74,96.74,83.92,90.97,96.74,96.74,92.22,92.22,96.56,96.56,80.43,80.43,96.56,96.56,86.23,86.23
2019,Walter de Gruyter,15241,96.9,96.9,85.01,92.78,96.9,96.9,94.08,94.08,96.44,96.44,82.47,82.47,96.44,96.44,88.79,88.79
2020,Walter de Gruyter,16442,97.44,97.44,87.65,93.9,97.44,97.44,94.92,94.92,97.15,97.15,87.75,87.75,97.15,97.15,92.17,92.17
2021,Walter de Gruyter,16440,97.23,97.23,88.62,95.38,97.23,97.23,95.96,95.96,96.93,96.93,89.06,89.06,96.93,96.93,93.42,93.42
2022,Walter de Gruyter,16103,97.5,97.5,89.83,95.75,97.5,97.5,96.39,96.39,97.12,97.12,90.09,90.09,97.12,97.12,94.75,94.75
2023,Walter de Gruyter,15869,97.09,97.09,91.33,96.55,97.09,97.09,97.25,97.25,96.74,96.74,91.59,91.59,96.74,96.74,95.82,95.82
2024,Walter de Gruyter,16151,97.17,97.17,91.12,96.1,97.17,97.17,96.68,96.68,97.01,97.01,91.23,91.23,97.01,97.01,96.2,96.2
2025,Walter de Gruyter,10572,97.1,97.1,91.88,97.28,97.1,97.1,97.67,97.67,97.12,97.12,93.3,93.3,97.12,97.12,97.42,97.42
2018,Wiley,210374,98.29,98.29,96.85,97.68,98.29,98.29,98.1,98.1,98.3,98.3,96.9,96.9,98.3,98.3,96.82,96.82
2019,Wiley,219344,98.41,98.41,97.07,97.85,98.41,98.41,98.25,98.25,98.44,98.44,97.26,97.26,98.44,98.44,96.93,96.93
2020,Wiley,246924,98.64,98.64,97.29,98.06,98.64,98.64,98.42,98.42,98.65,98.65,97.61,97.61,98.65,98.65,96.96,96.96
2021,Wiley,245146,98.69,98.69,97.38,98.17,98.69,98.69,98.49,98.49,98.7,98.7,97.76,97.76,98.7,98.7,96.77,96.77
2022,Wiley,235828,98.69,98.69,97.61,98.47,98.69,98.69,98.75,98.75,98.7,98.7,98.03,98.03,98.7,98.7,97.32,97.32
2023,Wiley,223394,98.97,98.97,97.73,98.48,98.97,98.97,98.8,98.8,98.96,98.96,98.17,98.17,98.96,98.96,97.65,97.65
2024,Wiley,244225,99.14,99.14,97.08,97.83,99.14,99.14,98.14,98.14,99.14,99.14,96.3,96.3,99.14,99.14,96.71,96.71
2025,Wiley,198034,98.97,98.97,95.99,96.79,98.97,98.97,97.01,97.01,98.98,98.98,96.79,96.79,98.98,98.98,97.02,97.02
