publication_year,esac_publisher,total_dois,author_position_pct,author_pct,institutions_pct,countries_pct,is_corresponding_pct,raw_author_name_pct,raw_affiliation_strings_pct,affiliations_pct,walden_author_position_pct,walden_author_pct,walden_institutions_pct,walden_countries_pct,walden_is_corresponding_pct,walden_raw_author_name_pct,walden_raw_affiliation_strings_pct,walden_affiliations_pct
2023,Association for Computing Machinery,4587,100,100,96.77,97.99,100,100,99.04,99.04,100,100,97.04,97.04,100,100,99.04,99.04
2024,Association for Computing Machinery,5107,99.94,99.94,97.28,98.3,99.94,99.94,99.02,99.02,99.98,99.98,97.55,97.55,99.98,99.98,98.86,98.86
2025,Association for Computing Machinery,4558,99.98,99.98,97.98,98.77,99.98,99.98,99.3,99.3,99.98,99.98,98.51,98.51,99.98,99.98,99.17,99.17
2018,BMJ Publishing,10389,98.84,98.84,98.42,99.34,98.84,98.84,99.84,99.84,98.94,98.94,98.01,98.01,98.94,98.94,97.57,97.57
2019,BMJ Publishing,12953,99.54,99.54,98.32,98.91,99.54,99.54,99.65,99.65,99.55,99.55,97.58,97.58,99.55,99.55,97.17,97.17
2020,BMJ Publishing,15830,99.48,99.48,95.39,92.69,99.48,99.48,98.07,98.07,99.53,99.53,94.57,94.57,99.53,99.53,95.39,95.39
2021,BMJ Publishing,17036,99.47,99.47,95.89,93.97,99.47,99.47,98.34,98.34,99.48,99.48,95.11,95.11,99.48,99.48,95.84,95.84
2022,BMJ Publishing,15126,99.4,99.4,95.52,93.52,99.4,99.4,98.12,98.12,99.47,99.47,94.72,94.72,99.47,99.47,95.7,95.7
2023,BMJ Publishing,12748,99.3,99.3,96.21,93.77,99.3,99.3,98.14,98.14,99.33,99.33,95.18,95.18,99.33,99.33,95.98,95.98
2024,BMJ Publishing,14044,99.12,99.12,95.86,94.37,99.12,99.12,98.13,98.13,99.17,99.17,81.99,81.99,99.17,99.17,83.26,83.26
2025,BMJ Publishing,11802,99.46,99.46,95.32,94.78,99.46,99.46,97.76,97.76,99.53,99.53,84.19,84.19,99.53,99.53,85.17,85.17
2018,Brill,6644,97.03,97.03,78.99,82.56,97.03,97.03,85.96,85.96,97.11,97.11,75.89,75.89,97.11,97.11,82.77,82.77
2019,Brill,7181,96.53,96.53,83.71,86.8,96.53,96.53,89.36,89.36,96.48,96.48,82.02,82.02,96.48,96.48,86.6,86.6
2020,Brill,7605,96.21,96.21,84.77,88.06,96.21,96.21,89.95,89.95,96.24,96.24,83.87,83.87,96.24,96.24,87.21,87.21
2021,Brill,7427,97.32,97.32,86.62,90.93,97.32,97.32,92.11,92.11,97.29,97.29,86.16,86.16,97.29,97.29,89.5,89.5
2022,Brill,7059,97.11,97.11,88.4,92.8,97.11,97.11,93.72,93.72,97.03,97.03,87.93,87.93,97.03,97.03,91.39,91.39
2023,Brill,6920,97.79,97.79,89.6,94.29,97.79,97.79,95.17,95.17,97.54,97.54,89.06,89.06,97.54,97.54,92.99,92.99
2024,Brill,6962,97.4,97.4,88.34,92.37,97.4,97.4,93.29,93.29,97.34,97.34,88.37,88.37,97.34,97.34,92.09,92.09
2025,Brill,4087,97.46,97.46,88.92,94.2,97.46,97.46,94.69,94.69,97.5,97.5,90.19,90.19,97.5,97.5,94.54,94.54
2018,Bristol University Press,410,99.51,99.51,92.44,97.07,99.51,99.51,99.02,99.02,99.51,99.51,93.66,93.66,99.51,99.51,98.54,98.54
2019,Bristol University Press,511,99.61,99.61,91.19,95.3,99.61,99.61,96.09,96.09,99.61,99.61,92.37,92.37,99.61,99.61,97.06,97.06
2020,Bristol University Press,482,99.79,99.79,96.47,98.96,99.79,99.79,99.38,99.38,99.79,99.79,97.51,97.51,99.79,99.79,99.59,99.59
2021,Bristol University Press,440,99.55,99.55,96.36,99.32,99.55,99.55,99.55,99.55,99.55,99.55,97.05,97.05,99.55,99.55,97.95,97.95
2022,Bristol University Press,554,99.82,99.82,95.67,99.46,99.82,99.82,99.64,99.64,99.82,99.82,96.75,96.75,99.82,99.82,98.74,98.74
2023,Bristol University Press,541,99.45,99.45,97.23,98.71,99.45,99.45,98.71,98.71,99.45,99.45,97.23,97.23,99.45,99.45,98.89,98.89
2024,Bristol University Press,622,99.84,99.84,98.87,99.68,99.84,99.84,99.84,99.84,99.84,99.84,98.87,98.87,99.84,99.84,99.52,99.52
2025,Bristol University Press,436,99.77,99.77,97.02,99.31,99.77,99.77,99.54,99.54,99.77,99.77,97.71,97.71,99.77,99.77,99.54,99.54
2018,Cambridge University Press,23275,94.32,94.32,84.32,85.53,94.32,94.32,87.56,87.56,93.79,93.79,79.27,79.27,93.79,93.79,80.22,80.22
2019,Cambridge University Press,23261,94.45,94.45,85.85,86.91,94.45,94.45,89.04,89.04,93.93,93.93,80.57,80.57,93.93,93.93,81.86,81.86
2020,Cambridge University Press,25445,94.96,94.96,87.57,88.67,94.96,94.96,90.68,90.68,94.6,94.6,82.52,82.52,94.6,94.6,83.55,83.55
2021,Cambridge University Press,25337,95.15,95.15,88.46,89.61,95.15,95.15,91.26,91.26,94.73,94.73,84.52,84.52,94.73,94.73,84.2,84.2
2022,Cambridge University Press,23532,95.07,95.07,90.19,91.78,95.07,95.07,93.56,93.56,94.65,94.65,86.55,86.55,94.65,94.65,87.75,87.75
2023,Cambridge University Press,22890,95.63,95.63,90.38,91.74,95.63,95.63,92.7,92.7,95.35,95.35,87.43,87.43,95.35,95.35,88.34,88.34
2024,Cambridge University Press,21435,95.23,95.23,72.76,73.54,95.23,95.23,73.96,73.96,95.15,95.15,61.44,61.44,95.15,95.15,62.11,62.11
2025,Cambridge University Press,17960,97.22,97.22,47.54,48.02,97.22,97.22,48.47,48.47,97.24,97.24,73.45,73.45,97.24,97.24,74.38,74.38
2018,Company of Biologists,1762,99.72,99.72,95.8,96.03,99.72,99.72,96.03,96.03,98.69,98.69,95.63,95.63,98.69,98.69,97.28,97.28
2019,Company of Biologists,1725,98.55,98.55,94.9,95.25,98.55,98.55,95.36,95.36,98.14,98.14,94.78,94.78,98.14,98.14,97.68,97.68
2020,Company of Biologists,1785,99.22,99.22,94.4,94.68,99.22,99.22,94.79,94.79,97.65,97.65,94.17,94.17,97.65,97.65,96.92,96.92
2021,Company of Biologists,1651,98.85,98.85,94.61,94.85,98.85,98.85,95.28,95.28,96,96,94.97,94.97,96,96,97.64,97.64
2022,Company of Biologists,1517,99.41,99.41,93.94,94.26,99.41,99.41,94.59,94.59,96.11,96.11,93.74,93.74,96.11,96.11,97.63,97.63
2023,Company of Biologists,1461,99.59,99.59,94.32,94.39,99.59,99.59,95.14,95.14,93.43,93.43,94.87,94.87,93.43,93.43,98.36,98.36
2024,Company of Biologists,1374,96.58,96.58,96.87,97.09,96.58,96.58,97.74,97.74,91.92,91.92,96.65,96.65,91.92,91.92,98.4,98.4
2025,Company of Biologists,784,91.33,91.33,98.34,98.47,91.33,91.33,99.11,99.11,91.58,91.58,98.09,98.09,91.58,91.58,98.72,98.72
2018,Elsevier,529054,98.77,98.77,95.91,96.95,98.77,98.77,97.29,97.29,98.73,98.73,76.49,76.49,98.73,98.73,76.95,76.95
2019,Elsevier,553086,98.63,98.63,95.86,96.79,98.63,98.63,97.09,97.09,98.58,98.58,76.46,76.46,98.58,98.58,76.75,76.75
2020,Elsevier,604678,99.06,99.06,96.17,96.99,99.06,99.06,97.26,97.26,99.01,99.01,77.35,77.35,99.01,99.01,77.38,77.38
2021,Elsevier,614483,99.07,99.07,96.08,96.82,99.07,99.07,97.09,97.09,99.04,99.04,74.04,74.04,99.04,99.04,73.75,73.75
2022,Elsevier,625406,99.02,99.02,94.33,95.12,99.02,99.02,95.37,95.37,98.99,98.99,63.7,63.7,98.99,98.99,63.49,63.49
2023,Elsevier,666219,99.25,99.25,94.16,94.88,99.25,99.25,95.13,95.13,99.19,99.19,66.63,66.63,99.19,99.19,66.4,66.4
2024,Elsevier,772402,99.03,99.03,68.53,69,99.03,99.03,69.15,69.15,99.02,99.02,38.6,38.6,99.02,99.02,38.76,38.76
2025,Elsevier,592280,98.97,98.97,32.37,32.57,98.97,98.97,32.6,32.6,98.97,98.97,6.33,6.33,98.97,98.97,6,6
2018,Emerald,14499,98.46,98.46,97.14,98.93,98.46,98.46,99.22,99.22,98.46,98.46,96.55,96.55,98.46,98.46,98.49,98.49
2019,Emerald,15773,98.14,98.14,96.97,98.97,98.14,98.14,99.18,99.18,98.12,98.12,96.65,96.65,98.12,98.12,98.67,98.67
2020,Emerald,16632,98.15,98.15,97.44,99.04,98.15,98.15,99.22,99.22,98.12,98.12,96.97,96.97,98.12,98.12,98.5,98.5
2021,Emerald,18091,98.59,98.59,97.29,98.75,98.59,98.59,98.97,98.97,98.57,98.57,96.79,96.79,98.57,98.57,97.99,97.99
2022,Emerald,15882,98.34,98.34,97.58,99,98.34,98.34,99.5,99.5,98.33,98.33,97.14,97.14,98.33,98.33,98.56,98.56
2023,Emerald,16456,98.26,98.26,96.21,97.3,98.26,98.26,97.53,97.53,98.25,98.25,97.17,97.17,98.25,98.25,98.31,98.31
2024,Emerald,18322,98.29,98.29,47.9,48.37,98.29,98.29,48.46,48.46,98.27,98.27,66.01,66.01,98.27,98.27,66.9,66.9
2025,Emerald,13700,96.99,96.99,34.81,34.94,96.99,96.99,35.48,35.48,96.99,96.99,53.05,53.05,96.99,96.99,54.42,54.42
2018,IOP Publishing,21755,99.94,99.94,91.8,92.23,99.94,99.94,92.4,92.4,99.93,99.93,67.73,67.73,99.93,99.93,66.89,66.89
2019,IOP Publishing,24186,99.98,99.98,89.43,90,99.98,99.98,90.17,90.17,99.98,99.98,63.93,63.93,99.98,99.98,63.26,63.26
2020,IOP Publishing,23196,99.94,99.94,90.22,90.65,99.94,99.94,90.93,90.93,99.94,99.94,66.35,66.35,99.94,99.94,64.8,64.8
2021,IOP Publishing,22216,99.95,99.95,82.23,82.63,99.95,99.95,82.89,82.89,99.95,99.95,61.96,61.96,99.95,99.95,58.01,58.01
2022,IOP Publishing,19898,99.9,99.9,81.6,81.98,99.9,99.9,82.22,82.22,99.9,99.9,59.2,59.2,99.9,99.9,55.95,55.95
2023,IOP Publishing,20826,99.98,99.98,92.79,93.41,99.98,99.98,93.58,93.58,99.98,99.98,86.96,86.96,99.98,99.98,86.58,86.58
2024,IOP Publishing,26754,99.97,99.97,58.23,58.62,99.97,99.97,58.85,58.85,99.97,99.97,44.26,44.26,99.97,99.97,44.42,44.42
2025,IOP Publishing,15341,99.93,99.93,16.31,16.45,99.93,99.93,16.54,16.54,99.93,99.93,4.02,4.02,99.93,99.93,4.01,4.01
2018,IOS Press,5424,99.23,99.23,87.56,89.09,99.23,99.23,89.73,89.73,99.23,99.23,88.03,88.03,99.23,99.23,89.09,89.09
2019,IOS Press,5988,99.63,99.63,89.85,91.23,99.63,99.63,92.3,92.3,99.6,99.6,89.75,89.75,99.6,99.6,91.15,91.15
2020,IOS Press,6204,99.52,99.52,91.12,93.15,99.52,99.52,93.81,93.81,99.55,99.55,90.91,90.91,99.55,99.55,92.59,92.59
2021,IOS Press,6487,99.21,99.21,92.06,93.56,99.21,99.21,94.22,94.22,99.15,99.15,91.81,91.81,99.15,99.15,92.92,92.92
