publication_year,esac_publisher,total_dois,with_author,with_institutions,with_countries,with_is_corresponding,with_raw_author_name,with_raw_affiliation_strings,with_affiliations,with_walden_author,with_walden_institutions,with_walden_countries,with_walden_is_corresponding,with_walden_raw_author_name,with_walden_raw_affiliation_strings,with_walden_affiliations
2019,Taylor & Francis,133732,132589,123694,125627,132589,132589,129195,129195,132677,128433,128433,132677,132677,128089,128089
2019,The Royal Society,1784,1784,1771,1779,1784,1784,1780,1780,1784,1775,1775,1784,1784,1722,1722
2019,Walter de Gruyter,15241,14768,12957,14140,14768,14768,14339,14339,14698,12569,12569,14698,14698,13532,13532
2019,Wiley,219344,215849,212916,214637,215849,215849,215505,215505,215924,213326,213326,215924,215924,212617,212617
2020,AIP Publishing,23010,22938,22380,22914,22938,22938,22976,22976,22930,22013,22013,22930,22930,22360,22360
2020,American Chemical Society,59173,59128,58658,58803,59128,59128,58835,58835,59168,58561,58561,59168,59168,58142,58142
2020,American Physical Society,21693,21693,21611,21665,21693,21693,21672,21671,21693,21507,21507,21693,21693,21077,21077
2020,Association for Computing Machinery,3234,3231,3044,3068,3231,3231,3147,3146,3215,3069,3069,3215,3215,3074,3074
2020,BMJ Publishing,15830,15748,15100,14673,15748,15748,15525,15525,15755,14971,14971,15755,15755,15101,15101
2020,Brill,7605,7317,6447,6697,7317,7317,6841,6841,7319,6378,6378,7319,7319,6632,6632
2020,Bristol University Press,482,481,465,477,481,481,479,479,481,470,470,481,481,480,480
2020,Cambridge University Press,25445,24163,22283,22561,24163,24163,23074,23074,24072,20996,20996,24072,24072,21260,21260
2020,Company of Biologists,1785,1771,1685,1690,1771,1771,1692,1692,1743,1681,1681,1743,1743,1730,1730
2020,Elsevier,604678,599012,581515,586451,599012,599012,588082,588082,598681,467713,467713,598681,598681,467877,467877
2020,Emerald,16632,16324,16206,16472,16324,16324,16503,16503,16320,16128,16128,16320,16320,16382,16382
2020,IOP Publishing,23196,23183,20928,21027,23183,23183,21092,21092,23183,15391,15391,23183,23183,15030,15030
2020,IOS Press,6204,6174,5653,5779,6174,6174,5820,5820,6176,5640,5640,6176,6176,5744,5744
2020,IWA Publishing,1832,1832,1793,1817,1832,1832,1825,1825,1832,1768,1768,1832,1832,1786,1786
2020,John Benjamins Publishing,1803,1779,1686,1703,1779,1779,1745,1745,1780,1692,1692,1780,1780,1739,1739
2020,Karger,5165,5005,5050,5092,5005,5005,5107,5107,4996,1200,1200,4996,4996,1184,1184
2020,Oxford University Press,62395,61254,58761,59324,61254,61254,59654,59654,61259,58397,58397,61259,61259,58058,58058
2020,Portland Press,1653,1641,1632,1652,1641,1641,1653,1653,1642,1635,1635,1642,1642,1634,1634
2020,Royal Society of Chemistry,36472,35405,36403,36451,35405,35405,36461,36461,35408,36278,36278,35408,35408,36048,36048
2020,Sage,78505,77259,72405,73748,77259,77259,74367,74367,77314,72067,72067,77314,77314,73263,73263
2020,Springer Nature,308499,306964,303037,306864,306964,306964,307700,307700,307033,299595,299595,307033,307033,295914,295914
2020,Taylor & Francis,138140,137209,128143,130063,137209,137209,133792,133792,137276,133282,133282,137276,137276,132465,132465
2020,The Royal Society,1908,1906,1883,1892,1906,1906,1899,1899,1908,1885,1885,1908,1908,1836,1836
2020,Walter de Gruyter,16442,16021,14412,15439,16021,16021,15606,15606,15974,14428,14428,15974,15974,15154,15154
2020,Wiley,246924,243559,240238,242128,243559,243559,243024,243024,243591,241022,241022,243591,243591,239428,239428
2021,AIP Publishing,20443,20369,19953,20366,20369,20369,20402,20402,20357,19662,19662,20357,20357,19562,19562
2021,American Chemical Society,60611,60572,59942,60062,60572,60572,60113,60113,60608,59852,59852,60608,60608,59196,59196
2021,American Physical Society,20597,20597,20519,20575,20597,20597,20584,20584,20597,20435,20435,20597,20597,18296,18296
2021,Association for Computing Machinery,4028,4024,3862,3894,4024,4024,3955,3955,4016,3886,3886,4016,4016,3792,3792
2021,BMJ Publishing,17036,16945,16335,16009,16945,16945,16754,16754,16948,16203,16203,16948,16948,16327,16327
2021,Brill,7427,7228,6433,6753,7228,7228,6841,6841,7226,6399,6399,7226,7226,6647,6647
