ev_cat,number_of_articles
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),63
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says Open Access),6049
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),1356
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),20
oa journal (via doaj)&open (via page says Open Access),823
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),1468
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),390
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),379
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),672
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)",777
oa repository (via OAI-PMH title and first author match)&oa repository (via doi prefix)&open (via page says license),428
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),2350
oa repository (via OAI-PMH doi match)&oa repository (via doi prefix),10
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),258
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),1718
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),514
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),514
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),2387
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),352
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),78
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via page says license),2437
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says license),306
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),567
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via free pdf),681
oa repository (via pmcid lookup)&open (via page says license),1402
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via page says license),585
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via page says license),766
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),91
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via free pdf),690
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),48
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),844
oa repository (via OAI-PMH title match)&open (via page says license),429
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),1791
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via doi prefix)&open (via page says license),38
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),912
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),298
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match),331
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),10
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says license),323
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&open (via free pdf),102
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),130
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),78
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),81
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),216
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),259
oa repository (via OAI-PMH title and last author match)&open (via page says license),322
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),118
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),303
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),179
oa repository (via OAI-PMH title and last author match)&open (via crossref license),255
oa repository (via OAI-PMH title and first author match)&oa repository (via doi prefix),100
oa repository (via OAI-PMH title match)&open (via crossref license),144
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),23
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),59
oa journal (via publisher name)&oa repository (via OAI-PMH title match),5
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match),192
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),183
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),66
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),174
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),76
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says Open Access),169
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),20
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via page says Open Access),155
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),48
oa repository (via OAI-PMH title match)&open (via page says Open Access),21
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),143
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),604
oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),7
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),169
oa journal (via publisher name)&oa repository (via pmcid lookup)&open (via page says license),8
oa repository (via pmcid lookup)&open (via page says Open Access),241
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via free pdf),126
oa repository (via OAI-PMH doi match)&oa repository (via doi prefix)&open (via page says license),57
oa journal (via doaj)&oa repository (via OAI-PMH title match),149
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),230
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),263
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),17
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),129
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),16
oa journal (via publisher name)&oa repository (via OAI-PMH title and last author match)&open (via page says license),88
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via free pdf),281
oa journal (via issn in doaj),23
oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),3
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),7
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),25
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),76
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),56
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),45
oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),24
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),99
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),43
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),11
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),21
oa journal (via publisher name)&oa repository (via OAI-PMH doi match),64
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),45
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license),8
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),5
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),47
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),128
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),76
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),28
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),27
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),11
oa repository (via doi prefix),29
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match),12
"oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license, author manuscript)",41
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),8
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),6
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),85
manual,3
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),19
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license),27
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),24
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),110
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),17
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),29
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),17
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),7
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),38
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),45
oa journal (via publisher name)&oa repository (via OAI-PMH title match)&open (via page says license),51
oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via free pdf),13
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match),27
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),23
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),73
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),19
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),53
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),40
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),13
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via page says license),30
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),6
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),12
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says Open Access),40
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via free pdf),14
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via free pdf),12
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),4
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),15
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),17
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),4
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),3
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),17
"oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",15
oa journal (via publisher name)&oa repository (via pmcid lookup),1
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says Open Access),5
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),33
oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),17
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),12
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),67
oa repository (via OAI-PMH title and last author match)&oa repository (via doi prefix)&open (via page says license),7
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),46
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via crossref license),21
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),8
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license),13
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license),2
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),14
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),16
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),7
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),16
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via free pdf),12
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),18
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),43
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),4
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),11
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),14
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),8
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),31
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),6
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),7
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via doi prefix)&open (via page says license),1
"oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",5
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),8
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),4
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license)&open (via free pdf),1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via page says license),4
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),9
oa journal (via publisher name)&oa repository (via OAI-PMH title and last author match),15
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via page says license),1
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via doi prefix),8
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license)&open (via free pdf),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),14
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),3
"oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",5
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via crossref license, author manuscript)",13
oa repository (via OAI-PMH title match)&oa repository (via doi prefix)&open (via page says license),2
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match),3
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license)&open (via free pdf),1
"oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",3
oa repository (via pmcid lookup)&open (via crossref license)&open (via page says license),1
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),1
oa journal (via publisher name)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&open (via page says license),2
"open (via crossref license, author manuscript)&open (via free pdf)",2
oa journal (via publisher name)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says license),8
oa repository (via OAI-PMH title match)&open (via crossref license)&open (via free pdf),4
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),2
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),8
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),6
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",8
oa journal (via doaj)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup),1
oa journal (via doaj)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says Open Access),6
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),1
oa journal (via publisher name)&oa repository (via OAI-PMH title match)&open (via free pdf),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&open (via crossref license)&open (via page says license),3
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via free pdf),4
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&open (via free pdf),6
"oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via crossref license, author manuscript)",4
oa repository (via OAI-PMH title and last author match)&oa repository (via doi prefix),2
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match)&open (via page says Open Access),2
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),9
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match)&open (via page says Open Access),5
oa repository (via OAI-PMH title and last author match)&oa repository (via pmcid lookup)&open (via crossref license),4
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and last author match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup),2
oa journal (via publisher name)&oa repository (via OAI-PMH title and last author match)&open (via free pdf),1
