ev_cat,number_of_articles
open (via free pdf),1225742
oa repository (via OAI-PMH doi match)&open (via free pdf),131974
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),132481
oa repository (via OAI-PMH title and first author match)&open (via free pdf),73509
oa journal (via doaj),109846
open (via page says license),180969
oa journal (via doaj)&open (via page says license),165103
oa repository (via OAI-PMH doi match),236003
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),246875
oa repository (via OAI-PMH title and first author match),284213
open (via page says Open Access),10327
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via page says license),35064
oa journal (via doaj)&oa repository (via pmcid lookup),1040
open (via crossref license),209640
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),122835
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),47873
oa journal (via publisher name)&open (via page says license),23226
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),44718
oa repository (via OAI-PMH doi match)&open (via page says Open Access),3452
oa repository (via OAI-PMH doi match)&open (via page says license),10366
oa journal (via doaj)&open (via free pdf),53268
oa repository (via OAI-PMH title and first author match)&open (via page says license),14734
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via page says license),52171
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),24861
oa repository (via OAI-PMH title match),8285
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),14891
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),52171
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via crossref license),23867
oa repository (via OAI-PMH title match)&open (via free pdf),2662
oa journal (via publisher name),1305
oa repository (via OAI-PMH doi match)&open (via crossref license),13207
oa repository (via pmcid lookup),7707
oa repository (via pmcid lookup)&open (via free pdf),6499
"oa repository (via OAI-PMH doi match)&open (via crossref license, author manuscript)",3596
"open (via crossref license, author manuscript)",3373
oa journal (via doaj)&oa repository (via OAI-PMH doi match),6785
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via free pdf),6703
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),2532
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),12448
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),27040
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),2037
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match),14077
oa repository (via OAI-PMH title and first author match)&open (via crossref license),7905
oa repository (via doi prefix)&open (via page says license),2608
"oa repository (via OAI-PMH title and first author match)&open (via crossref license, author manuscript)",1262
oa repository (via OAI-PMH title and last author match),6497
oa repository (via OAI-PMH title and last author match)&open (via free pdf),1312
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),10020
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),12005
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says Open Access),6567
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),1876
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),12266
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via crossref license),2800
open (via crossref license)&open (via free pdf),15444
oa repository (via pmcid lookup)&open (via crossref license),1105
oa journal (via doaj)&oa repository (via pmcid lookup)&open (via page says license),1700
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title match),354
open (via crossref license)&open (via page says license),7457
oa journal (via publisher name)&open (via free pdf),1756
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says license),8946
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),3922
oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),1187
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via page says license),852
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via page says Open Access),1232
oa repository (via OAI-PMH doi match)&open (via crossref license)&open (via page says license),2881
oa repository (via OAI-PMH title and first author match)&oa repository (via OAI-PMH title and last author match),1240
oa repository (via OAI-PMH title and first author match)&open (via crossref license)&open (via free pdf),982
