name,rd_total,ed_total,na_total,rd_pct,ed_pct,na_pct
Web of Science,18519346,1711015,1613822,0.8477930257222255,0.07832817247474633,0.07387879563082224
OpenAlex,20944212,892348,7623,0.9588004275554732,0.040850599028236866,3.4897160727641655e-4
