oal23_type,oal24_type,wos_type,n,noal,n24wos
EDITORIAL,article,Editorial Material,127,130,577166
ARTICLE,retraction,Article,122,7604,122
LETTER,letter,Article,119,11148,20046
ERRATUM,erratum,Article,115,44559,452
ARTICLE,article,Other,98,19485631,1124585
ARTICLE,preprint,Other,89,11563,149
ARTICLE,review,Retraction,88,1359404,88
LETTER,letter,Editorial Material,87,11148,219118
ARTICLE,editorial,News Item,83,127373,84
ERRATUM,article,Correction,79,79,70890
ARTICLE,editorial,Proceedings Paper,71,127373,98
ARTICLE,retraction,Other,67,7604,214
ARTICLE,letter,Other,66,588295,428
PARATEXT,article,Proceedings Paper,63,640,318186
PARATEXT,paratext,Proceedings Paper,63,1739,63
ARTICLE,retraction,Early Access,62,7604,62
OTHER,erratum,Correction,61,62,119035
ARTICLE,article,Other,59,19485631,1124585
ARTICLE,letter,Other,57,588295,428
ARTICLE,preprint,Other,54,11563,149
EDITORIAL,editorial,Early Access,49,41611,305
ARTICLE,article,Editorial Material,48,19485631,577166
ARTICLE,erratum,Other,47,76156,104
EDITORIAL,editorial,Biographical-Item,45,41611,942
PARATEXT,paratext,Review,44,1739,44
ARTICLE,review,Article,41,1359404,315565
PARATEXT,paratext,Letter,41,1739,41
ARTICLE,article,Other,39,19485631,1124585
ARTICLE,erratum,Retraction,37,76156,49
ERRATUM,erratum,Editorial Material,35,44559,208
PARATEXT,review,Article,34,72,315565
PARATEXT,review,Review,34,72,969048
ARTICLE,erratum,Other,32,76156,104
ARTICLE,preprint,Early Access,32,11563,32
ARTICLE,article,Review,32,19485631,271486
ARTICLE,preprint,Letter,31,11563,31
ARTICLE,letter,Other,30,588295,428
EDITORIAL,editorial,Letter,30,41611,376
EDITORIAL,editorial,Correction,29,41611,56
ARTICLE,editorial,Correction,27,127373,56
ARTICLE,editorial,Other,27,127373,119
EDITORIAL,editorial,Proceedings Paper,27,41611,98
ARTICLE,erratum,Correction,27,76156,119035
ARTICLE,editorial,Other,25,127373,119
ARTICLE,retraction,Letter,25,7604,25
ARTICLE,review,Other,25,1359404,10232
ARTICLE,paratext,Article,24,42,1339
ARTICLE,review,Other,23,1359404,10232
ARTICLE,letter,Retraction,21,588295,21
ARTICLE,retraction,Editorial Material,21,7604,21
ARTICLE,article,Other,20,19485631,1124585
ARTICLE,letter,Other,20,588295,428
ARTICLE,editorial,Editorial Material,19,127373,163300
ARTICLE,editorial,Other,18,127373,119
ARTICLE,erratum,Review,18,76156,18
ARTICLE,review,Other,18,1359404,10232
LETTER,letter,Early Access,18,11148,704
EDITORIAL,editorial,Review,17,41611,204
ARTICLE,paratext,Editorial Material,16,42,237
ARTICLE,letter,Other,15,588295,428
ERRATUM,erratum,Proceedings Paper,15,44559,18
LETTER,article,Letter,15,19,77728
ARTICLE,article,Other,14,19485631,1124585
ARTICLE,editorial,Other,14,127373,119
ARTICLE,review,Other,13,1359404,10232
ARTICLE,article,Other,12,19485631,1124585
ARTICLE,editorial,Other,12,127373,119
ERRATUM,erratum,Retraction,12,44559,49
ARTICLE,article,Proceedings Paper,12,19485631,318186
ARTICLE,letter,Letter,12,588295,354659
PARATEXT,paratext,Other,12,1739,29
ARTICLE,preprint,Biographical-Item,11,11563,11
ERRATUM,erratum,Letter,11,44559,140
PARATEXT,paratext,Correction,11,1739,11
ARTICLE,review,Other,10,1359404,10232
EDITORIAL,preprint,Editorial Material,10,10,186
PARATEXT,paratext,Other,10,1739,29
ARTICLE,article,Other,9,19485631,1124585
ARTICLE,preprint,News Item,9,11563,9
ARTICLE,article,Correction,9,19485631,70890
ARTICLE,letter,Editorial Material,9,588295,219118
PARATEXT,paratext,Early Access,9,1739,10
ARTICLE,preprint,Correction,8,11563,12
ARTICLE,review,Other,8,1359404,10232
ARTICLE,article,Early Access,8,19485631,47154
OTHER,article,Editorial Material,8,20,577166
PARATEXT,article,Review,8,640,271486
PARATEXT,letter,Letter,8,14,354659
ARTICLE,retraction,Other,7,7604,214
ARTICLE,review,Other,7,1359404,10232
LETTER,letter,Correction,7,11148,233
ARTICLE,editorial,Other,6,127373,119
ARTICLE,review,Other,6,1359404,10232
ERRATUM,erratum,Other,6,44559,104
ARTICLE,article,Other,6,19485631,1124585
LETTER,letter,Review,6,11148,611
ARTICLE,erratum,Other,5,76156,104
ARTICLE,review,Other,5,1359404,10232
ARTICLE,article,Other,5,19485631,1124585
ARTICLE,article,News Item,5,19485631,59158
LETTER,erratum,Correction,5,5,119035
OTHER,article,Article,5,20,16908261
PARATEXT,paratext,Biographical-Item,5,1739,5
PARATEXT,paratext,Other,5,1739,29
ARTICLE,article,Other,4,19485631,1124585
ARTICLE,editorial,Retraction,4,127373,4
ARTICLE,letter,Other,4,588295,428
ERRATUM,preprint,Correction,4,4,12
ARTICLE,review,Editorial Material,4,1359404,36929
LETTER,letter,Other,4,11148,428
OTHER,retraction,Retraction,4,5,5699
PARATEXT,letter,Editorial Material,4,14,219118
PARATEXT,review,Proceedings Paper,4,72,12484
ARTICLE,erratum,News Item,3,76156,3
ARTICLE,erratum,Proceedings Paper,3,76156,18
ARTICLE,letter,Other,3,588295,428
ARTICLE,preprint,Other,3,11563,149
ARTICLE,retraction,Review,3,7604,3
ARTICLE,review,Other,3,1359404,10232
EDITORIAL,editorial,Other,3,41611,119
EDITORIAL,letter,Article,3,156,20046
ERRATUM,erratum,Biographical-Item,3,44559,4
ERRATUM,erratum,Other,3,44559,104
ARTICLE,retraction,Retraction,3,7604,5699
LETTER,article,Article,3,19,16908261
REFERENCE-ENTRY,review,Review,3,3,969048
ARTICLE,article,Other,2,19485631,1124585
ARTICLE,editorial,Other,2,127373,119
ARTICLE,erratum,Other,2,76156,104
ARTICLE,letter,Other,2,588295,428
ARTICLE,review,Other,2,1359404,10232
EDITORIAL,editorial,Other,2,41611,119
EDITORIAL,letter,Early Access,2,156,704
EDITORIAL,review,Article,2,427,315565
ERRATUM,erratum,Other,2,44559,104
ERRATUM,retraction,Correction,2,2,1466
ARTICLE,article,Letter,2,19485631,77728
LETTER,letter,Biographical-Item,2,11148,136
LETTER,letter,Other,2,11148,428
LETTER,review,Editorial Material,2,306,36929
LETTER,review,Review,2,306,969048
OTHER,article,Correction,2,20,70890
PARATEXT,erratum,Article,2,2,452
PARATEXT,letter,Article,2,14,20046
PARATEXT,paratext,News Item,2,1739,2
ARTICLE,article,Other,1,19485631,1124585
ARTICLE,editorial,Other,1,127373,119
ARTICLE,erratum,Biographical-Item,1,76156,4
ARTICLE,erratum,Other,1,76156,104
ARTICLE,letter,Other,1,588295,428
ARTICLE,paratext,Other,1,42,29
ARTICLE,paratext,Early Access,1,42,10
ARTICLE,preprint,Other,1,11563,149
ARTICLE,retraction,Other,1,7604,214
ARTICLE,review,Other,1,1359404,10232
ARTICLE,other,Article,1,3,1
ARTICLE,other,Correction,1,3,2
ARTICLE,other,Editorial Material,1,3,1
OTHER,other,News Item,1,1,1
OTHER,article,Article,1,20,16908261
EDITORIAL,article,Article,1,130,16908261
EDITORIAL,article,Other,1,130,1124585
EDITORIAL,article,Early Access,1,130,47154
EDITORIAL,editorial,News Item,1,41611,84
EDITORIAL,editorial,Other,1,41611,119
EDITORIAL,review,Correction,1,427,3552
EDITORIAL,review,Review,1,427,969048
ERRATUM,review,Early Access,1,697,2551
ERRATUM,other,Correction,1,1,2
ARTICLE,article,Biographical-Item,1,19485631,28095
ARTICLE,erratum,Early Access,1,76156,753
ARTICLE,letter,News Item,1,588295,3483
ARTICLE,preprint,Article,1,11563,10566
ARTICLE,review,Correction,1,1359404,3552
ARTICLE,review,News Item,1,1359404,2282
ARTICLE,review,Proceedings Paper,1,1359404,12484
LETTER,article,Review,1,19,271486
LETTER,editorial,Editorial Material,1,1,163300
LETTER,letter,Proceedings Paper,1,11148,174
LETTER,letter,Other,1,11148,428
LETTER,review,Article,1,306,315565
LETTER,review,Early Access,1,306,2551
OTHER,article,Biographical-Item,1,20,28095
OTHER,article,Review,1,20,271486
OTHER,erratum,Early Access,1,62,753
OTHER,retraction,Correction,1,5,1466
PARATEXT,article,Other,1,640,1124585
PARATEXT,article,Letter,1,640,77728
PARATEXT,editorial,Editorial Material,1,1,163300
PARATEXT,paratext,Other,1,1739,29
PARATEXT,retraction,Retraction,1,1,5699
REFERENCE-ENTRY,editorial,Editorial Material,1,1,163300
REFERENCE-ENTRY,reference-entry,Article,1,1,1
