oal23_type,oal24_type,wos_type,n,noal,n24wos
ARTICLE,article,Article,16906240,19485631,16908261
ARTICLE,review,Review,968816,1359404,969048
ARTICLE,article,Other,745599,19485631,1124585
ARTICLE,article,Editorial Material,576983,19485631,577166
ARTICLE,letter,Letter,343738,588295,354659
ARTICLE,article,Other,339676,19485631,1124585
ARTICLE,article,Proceedings Paper,318111,19485631,318186
ARTICLE,review,Article,315487,1359404,315565
ARTICLE,article,Review,271443,19485631,271486
ARTICLE,letter,Editorial Material,218867,588295,219118
ARTICLE,editorial,Editorial Material,122070,127373,163300
ARTICLE,article,Letter,77710,19485631,77728
ARTICLE,erratum,Correction,74812,76156,119035
ARTICLE,article,Correction,70800,19485631,70890
ARTICLE,article,News Item,59153,19485631,59158
ARTICLE,article,Early Access,47145,19485631,47154
ERRATUM,erratum,Correction,44130,44559,119035
EDITORIAL,editorial,Editorial Material,41208,41611,163300
ARTICLE,review,Editorial Material,36500,1359404,36929
ARTICLE,article,Biographical-Item,28093,19485631,28095
ARTICLE,article,Other,21172,19485631,1124585
ARTICLE,letter,Article,19922,588295,20046
ARTICLE,review,Proceedings Paper,12479,1359404,12484
LETTER,letter,Letter,10901,11148,354659
ARTICLE,preprint,Article,10565,11563,10566
ARTICLE,review,Letter,7748,1359404,8048
ARTICLE,review,Other,6984,1359404,10232
ARTICLE,retraction,Retraction,5691,7604,5699
ARTICLE,article,Other,4498,19485631,1124585
ARTICLE,article,Other,4274,19485631,1124585
ARTICLE,article,Retraction,3810,19485631,3810
ARTICLE,letter,News Item,3482,588295,3483
ARTICLE,editorial,Article,3302,127373,3499
ARTICLE,review,Correction,2854,1359404,3552
ARTICLE,review,Early Access,2549,1359404,2551
ARTICLE,review,News Item,2281,1359404,2282
ARTICLE,review,Other,2111,1359404,10232
ARTICLE,article,Other,1671,19485631,1124585
ARTICLE,retraction,Correction,1463,7604,1466
ARTICLE,article,Article,1444,19485631,16908261
PARATEXT,paratext,Article,1315,1739,1339
ARTICLE,article,Other,1200,19485631,1124585
ARTICLE,article,Other,1101,19485631,1124585
ARTICLE,article,Other,1040,19485631,1124585
ARTICLE,editorial,Biographical-Item,897,127373,942
ARTICLE,review,Other,848,1359404,10232
ARTICLE,article,Other,757,19485631,1124585
ARTICLE,article,Other,743,19485631,1124585
ERRATUM,review,Correction,696,697,3552
ARTICLE,letter,Early Access,684,588295,704
ARTICLE,letter,Review,605,588295,611
PARATEXT,article,Article,566,640,16908261
ARTICLE,article,Other,563,19485631,1124585
ARTICLE,article,Other,532,19485631,1124585
ARTICLE,erratum,Early Access,530,76156,753
ARTICLE,article,Other,470,19485631,1124585
EDITORIAL,review,Editorial Material,423,427,36929
ARTICLE,editorial,Letter,346,127373,376
ARTICLE,article,Other,337,19485631,1124585
ARTICLE,erratum,Article,335,76156,452
ARTICLE,preprint,Proceedings Paper,313,11563,313
LETTER,review,Letter,300,306,8048
ARTICLE,preprint,Review,268,11563,268
ARTICLE,editorial,Early Access,256,127373,305
ARTICLE,letter,Correction,226,588295,233
ERRATUM,erratum,Early Access,221,44559,753
PARATEXT,paratext,Editorial Material,221,1739,237
ARTICLE,letter,Other,219,588295,428
ARTICLE,article,Other,209,19485631,1124585
EDITORIAL,editorial,Article,197,41611,3499
ARTICLE,review,Review,192,1359404,969048
ARTICLE,editorial,Review,187,127373,204
ARTICLE,preprint,Editorial Material,176,11563,186
ARTICLE,erratum,Editorial Material,173,76156,208
ARTICLE,letter,Proceedings Paper,173,588295,174
ARTICLE,article,Other,162,19485631,1124585
ARTICLE,review,Other,159,1359404,10232
ARTICLE,article,Other,151,19485631,1124585
EDITORIAL,letter,Editorial Material,151,156,219118
ARTICLE,article,Other,148,19485631,1124585
ARTICLE,letter,Biographical-Item,134,588295,136
ARTICLE,retraction,Other,132,7604,214
ARTICLE,review,Biographical-Item,130,1359404,130
ARTICLE,erratum,Letter,129,76156,140
