name,rd_total,ed_total,na_total,rd_pct,ed_pct,na_pct
Scopus (2024),22530605,1757950,353229,0.9143252371662701,0.07134020551319863,0.01433455410009784
OpenAlex (2023),24501264,139993,527,0.9942974907985558,0.005681122533631255,2.1386437711410006e-5
OpenAlex (2024),23625184,1007924,8676,0.9587448700954444,0.04090304341538003,3.520848834661923e-4
