oal23_type,oal24_type,wos_type,n,noal,n24wos
PARATEXT,paratext,Proceedings Paper,63,1742,63
ARTICLE,retraction,Early Access,62,7655,62
OTHER,erratum,Correction,62,63,119583
EDITORIAL,editorial,Early Access,49,41642,305
EDITORIAL,editorial,Biographical-Item,45,41642,944
PARATEXT,paratext,Review,44,1742,44
PARATEXT,paratext,Letter,41,1742,41
ARTICLE,erratum,Retraction,37,76620,49
ERRATUM,erratum,Editorial Material,35,44646,209
PARATEXT,review,Article,34,72,316102
PARATEXT,review,Review,34,72,969722
ARTICLE,preprint,Early Access,32,11565,32
ARTICLE,preprint,Letter,31,11565,31
EDITORIAL,editorial,Letter,30,41642,377
EDITORIAL,editorial,Correction,29,41642,57
ARTICLE,editorial,Correction,28,127778,57
PARATEXT,paratext,Other,28,1742,29
EDITORIAL,editorial,Proceedings Paper,27,41642,98
ARTICLE,retraction,Letter,25,7655,25
ARTICLE,paratext,Article,24,42,1342
ARTICLE,letter,Retraction,21,589565,21
ARTICLE,retraction,Editorial Material,21,7655,21
ARTICLE,erratum,Review,18,76620,18
LETTER,letter,Early Access,18,11243,704
EDITORIAL,editorial,Review,17,41642,204
ERRATUM,erratum,Other,17,44646,104
ARTICLE,paratext,Editorial Material,16,42,237
ERRATUM,erratum,Proceedings Paper,15,44646,18
LETTER,article,Letter,15,19,77847
ERRATUM,erratum,Retraction,12,44646,49
ARTICLE,preprint,Biographical-Item,11,11565,11
ERRATUM,erratum,Letter,11,44646,140
PARATEXT,paratext,Correction,11,1742,11
EDITORIAL,preprint,Editorial Material,10,10,186
ARTICLE,preprint,News Item,9,11565,9
PARATEXT,paratext,Early Access,9,1742,10
ARTICLE,preprint,Correction,8,11565,12
EDITORIAL,editorial,Other,8,41642,119
OTHER,article,Editorial Material,8,20,578519
PARATEXT,article,Review,8,640,271600
PARATEXT,letter,Letter,8,14,355581
OTHER,article,Article,7,20,16914839
LETTER,letter,Other,7,11243,430
LETTER,letter,Correction,7,11243,236
LETTER,letter,Review,6,11243,613
LETTER,erratum,Correction,5,5,119583
PARATEXT,paratext,Biographical-Item,5,1742,5
ARTICLE,editorial,Retraction,4,127778,4
ERRATUM,preprint,Correction,4,4,12
OTHER,retraction,Retraction,4,5,5741
PARATEXT,letter,Editorial Material,4,14,219536
PARATEXT,review,Proceedings Paper,4,72,12484
ARTICLE,erratum,News Item,3,76620,3
ARTICLE,erratum,Proceedings Paper,3,76620,18
ARTICLE,retraction,Review,3,7655,3
EDITORIAL,letter,Article,3,158,20062
ERRATUM,erratum,Biographical-Item,3,44646,4
LETTER,article,Article,3,19,16914839
REFERENCE-ENTRY,review,Review,3,3,969722
EDITORIAL,letter,Early Access,2,158,704
EDITORIAL,review,Article,2,427,316102
ERRATUM,retraction,Correction,2,2,1473
LETTER,letter,Biographical-Item,2,11243,137
LETTER,review,Editorial Material,2,306,37036
LETTER,review,Review,2,306,969722
OTHER,article,Correction,2,20,71272
OTHER,article,Review,2,20,271600
PARATEXT,article,Other,2,640,1129946
PARATEXT,erratum,Article,2,2,455
PARATEXT,letter,Article,2,14,20062
PARATEXT,paratext,News Item,2,1742,2
ARTICLE,erratum,Biographical-Item,1,76620,4
ARTICLE,paratext,Other,1,42,29
ARTICLE,paratext,Early Access,1,42,10
ARTICLE,other,Article,1,3,1
ARTICLE,other,Correction,1,3,2
ARTICLE,other,Editorial Material,1,3,1
OTHER,other,News Item,1,1,1
EDITORIAL,article,Article,1,130,16914839
EDITORIAL,article,Other,1,130,1129946
EDITORIAL,article,Early Access,1,130,47157
EDITORIAL,editorial,News Item,1,41642,84
EDITORIAL,review,Correction,1,427,3563
EDITORIAL,review,Review,1,427,969722
ERRATUM,review,Early Access,1,699,2552
ERRATUM,other,Correction,1,1,2
LETTER,article,Review,1,19,271600
