name,rd_total,ed_total,na_total,rd_pct,ed_pct,na_pct
Web of Science,18501532,1708164,1548043,0.8503425838502796,0.07850833826258403,0.07114907178145298
OpenAlex (before),21656033,101615,91,0.9953255253222772,0.004670292044202715,4.182419681456691e-6
OpenAlex (after),20858981,891147,7611,0.9586924909798762,0.04095770064776308,3.498065516051927e-4
