oal23_type,oal24_type,scp_type,n,noal,n24scp
ARTICLE,article,Article,20271180,22095178,20273767
ARTICLE,review,Review,1043367,1506878,1043593
ARTICLE,article,Review,699496,22095178,699574
ARTICLE,review,Article,392976,1506878,393118
ARTICLE,article,Note,390741,22095178,390783
ARTICLE,letter,Letter,353566,632214,365045
ARTICLE,article,Editorial,222023,22095178,222336
ARTICLE,article,Conference Paper,219748,22095178,219781
ARTICLE,editorial,Editorial,129444,154140,182107
ARTICLE,article,Letter,115672,22095178,115700
ARTICLE,letter,Note,106854,632214,107764
ARTICLE,article,Erratum,86996,22095178,87129
ARTICLE,letter,Editorial,86241,632214,86396
ARTICLE,erratum,Erratum,82738,84276,136780
ARTICLE,article,Short Survey,59021,22095178,59028
ARTICLE,letter,Article,54337,632214,54667
ERRATUM,erratum,Erratum,53917,54940,136780
EDITORIAL,editorial,Editorial,52644,61155,182107
ARTICLE,review,Note,25941,1506878,25996
ARTICLE,review,Short Survey,20701,1506878,20701
ARTICLE,preprint,Article,17051,19921,17060
ARTICLE,letter,Review,15996,632214,16025
ARTICLE,article,Tombstone,14810,22095178,14812
ARTICLE,letter,Short Survey,14397,632214,14405
ARTICLE,article,Data Paper,12305,22095178,12309
LETTER,letter,Letter,11454,12730,365045
ARTICLE,editorial,Review,11312,154140,12848
ARTICLE,review,Conference Paper,8234,1506878,8236
ARTICLE,retraction,Erratum,8006,8475,8023
ARTICLE,review,Letter,7603,1506878,7893
ARTICLE,editorial,Article,6911,154140,8335
PARATEXT,paratext,Article,6676,8059,6802
EDITORIAL,editorial,Note,5341,61155,10385
ARTICLE,editorial,Note,5044,154140,10385
ARTICLE,review,Editorial,4193,1506878,4603
ARTICLE,review,Erratum,3047,1506878,3880
ARTICLE,preprint,Review,2162,19921,2163
ARTICLE,article,Article,1627,22095178,20273767
EDITORIAL,editorial,Review,1534,61155,12848
EDITORIAL,editorial,Article,1420,61155,8335
ARTICLE,article,Chapter,1394,22095178,1394
ARTICLE,erratum,Article,999,84276,1853
