oal23_type,oal24_type,scp_type,n,noal,n24scp
ERRATUM,erratum,Article,840,54940,1853
ERRATUM,review,Erratum,832,848,3880
LETTER,letter,Note,783,12730,107764
PARATEXT,article,Article,680,721,20273767
ARTICLE,review,Tombstone,547,1506878,547
ARTICLE,editorial,Conference Paper,514,154140,607
PARATEXT,paratext,Note,465,8059,467
ARTICLE,editorial,Letter,411,154140,493
ARTICLE,editorial,Short Survey,409,154140,415
EDITORIAL,review,Editorial,408,442,4603
PARATEXT,paratext,Editorial,402,8059,412
ARTICLE,letter,Erratum,389,632214,401
LETTER,letter,Article,323,12730,54667
PARATEXT,paratext,Review,318,8059,334
EDITORIAL,article,Editorial,297,342,222336
LETTER,review,Letter,286,322,7893
ARTICLE,letter,Conference Paper,244,632214,247
OTHER,article,Article,230,275,20273767
ARTICLE,preprint,Conference Paper,218,19921,218
ARTICLE,review,Review,185,1506878,1043593
ARTICLE,retraction,Article,183,8475,184
ARTICLE,retraction,Tombstone,179,8475,179
ARTICLE,erratum,Letter,177,84276,223
ARTICLE,preprint,Note,174,19921,174
ARTICLE,letter,Tombstone,159,632214,159
ARTICLE,preprint,Letter,149,19921,149
ARTICLE,preprint,Editorial,126,19921,137
ARTICLE,paratext,Article,123,155,6802
EDITORIAL,letter,Note,121,154,107764
LETTER,letter,Editorial,121,12730,86396
ERRATUM,article,Erratum,109,112,87129
OTHER,other,Article,105,156,172
ARTICLE,erratum,Note,103,84276,174
EDITORIAL,editorial,Conference Paper,93,61155,607
ARTICLE,erratum,Editorial,88,84276,124
PARATEXT,paratext,Letter,81,8059,83
EDITORIAL,editorial,Letter,77,61155,493
PARATEXT,paratext,Erratum,77,8059,77
OTHER,erratum,Erratum,72,72,136780
ERRATUM,erratum,Note,71,54940,174
ARTICLE,erratum,Review,70,84276,92
ARTICLE,editorial,Erratum,66,154140,106
ARTICLE,review,Article,58,1506878,393118
PARATEXT,review,Article,58,91,393118
ARTICLE,erratum,Erratum,48,84276,136780
ERRATUM,erratum,Letter,45,54940,223
EDITORIAL,editorial,Erratum,40,61155,106
ARTICLE,retraction,Letter,38,8475,38
OTHER,other,Article,37,156,172
ARTICLE,article,Review,37,22095178,699574
ERRATUM,erratum,Editorial,36,54940,124
ARTICLE,retraction,Note,35,8475,35
PARATEXT,review,Review,33,91,1043593
PARATEXT,paratext,Conference Paper,32,8059,35
ARTICLE,article,Other,31,22095178,43
ARTICLE,erratum,Tombstone,31,84276,35
LETTER,review,Note,28,322,25996
LETTER,letter,Review,27,12730,16025
ARTICLE,preprint,Short Survey,26,19921,26
EDITORIAL,article,Article,26,342,20273767
EDITORIAL,letter,Editorial,26,154,86396
ARTICLE,article,Note,24,22095178,390783
PARATEXT,article,Review,23,721,699574
ERRATUM,erratum,Review,22,54940,92
LETTER,article,Letter,21,26,115700
ARTICLE,other,Article,20,30,172
EDITORIAL,review,Note,20,442,25996
ARTICLE,article,Erratum,20,22095178,87129
ARTICLE,editorial,Editorial,18,154140,182107
ARTICLE,retraction,Editorial,16,8475,16
OTHER,article,Note,16,275,390783
ARTICLE,paratext,Review,15,155,334
ARTICLE,letter,Letter,15,632214,365045
PARATEXT,article,Conference Paper,15,721,219781
ARTICLE,retraction,Review,14,8475,14
OTHER,article,Article,14,275,20273767
ARTICLE,review,Data Paper,13,1506878,13
ARTICLE,article,Conference Paper,13,22095178,219781
ARTICLE,article,Editorial,13,22095178,222336
ARTICLE,erratum,Article,12,84276,1853
LETTER,letter,Erratum,12,12730,401
EDITORIAL,article,Review,11,342,699574
EDITORIAL,preprint,Editorial,11,12,137
EDITORIAL,review,Article,11,442,393118
ARTICLE,paratext,Editorial,10,155,412
OTHER,retraction,Erratum,10,10,8023
ARTICLE,preprint,Erratum,9,19921,13
LETTER,letter,Short Survey,8,12730,14405
OTHER,preprint,Article,8,8,17060
PARATEXT,letter,Letter,8,15,365045
ARTICLE,review,Chapter,7,1506878,7
ERRATUM,review,Article,7,848,393118
ARTICLE,article,Other,6,22095178,43
ARTICLE,erratum,Short Survey,6,84276,9
OTHER,other,Article,6,156,172
EDITORIAL,editorial,Short Survey,6,61155,415
ARTICLE,article,Letter,6,22095178,115700
ARTICLE,letter,Note,6,632214,107764
OTHER,article,Review,6,275,699574
ARTICLE,other,Review,5,30,7
ARTICLE,editorial,Tombstone,5,154140,5
LETTER,editorial,Letter,5,5,493
LETTER,erratum,Erratum,5,6,136780
LETTER,review,Article,5,322,393118
ARTICLE,erratum,Conference Paper,4,84276,6
ARTICLE,letter,Data Paper,4,632214,4
ARTICLE,preprint,Data Paper,4,19921,4
EDITORIAL,article,Conference Paper,4,342,219781
ERRATUM,erratum,Tombstone,4,54940,35
ERRATUM,preprint,Erratum,4,4,13
ERRATUM,review,Letter,4,848,7893
ARTICLE,article,Data Paper,4,22095178,12309
ARTICLE,article,Short Survey,4,22095178,59028
ARTICLE,editorial,Article,4,154140,8335
ARTICLE,letter,Editorial,4,632214,86396
ARTICLE,review,Note,4,1506878,25996
PARATEXT,letter,Editorial,4,15,86396
PARATEXT,paratext,Short Survey,4,8059,4
ARTICLE,article,Other,3,22095178,43
ARTICLE,paratext,Conference Paper,3,155,35
EDITORIAL,letter,Article,3,154,54667
ERRATUM,article,Article,3,112,20273767
ERRATUM,erratum,Short Survey,3,54940,9
ERRATUM,review,Note,3,848,25996
PARATEXT,paratext,Article,3,8059,6802
LETTER,article,Article,3,26,20273767
OTHER,review,Article,3,3,393118
PARATEXT,letter,Article,3,15,54667
PARATEXT,retraction,Erratum,3,3,8023
REFERENCE-ENTRY,review,Review,3,3,1043593
ARTICLE,other,Note,2,30,4
ARTICLE,paratext,Letter,2,155,83
ARTICLE,paratext,Note,2,155,467
EDITORIAL,article,Erratum,2,342,87129
EDITORIAL,letter,Letter,2,154,365045
EDITORIAL,letter,Review,2,154,16025
EDITORIAL,review,Review,2,442,1043593
ERRATUM,erratum,Conference Paper,2,54940,6
ERRATUM,retraction,Erratum,2,2,8023
ARTICLE,editorial,Review,2,154140,12848
ARTICLE,retraction,Erratum,2,8475,8023
ARTICLE,review,Conference Paper,2,1506878,8236
LETTER,letter,Conference Paper,2,12730,247
LETTER,review,Review,2,322,1043593
OTHER,article,Editorial,2,275,222336
OTHER,article,Erratum,2,275,87129
OTHER,other,Note,2,156,4
PARATEXT,erratum,Article,2,2,1853
REFERENCE-ENTRY,article,Article,2,2,20273767
ARTICLE,preprint,Tombstone,1,19921,1
ARTICLE,retraction,Conference Paper,1,8475,1
ARTICLE,other,Article,1,30,172
ARTICLE,other,Editorial,1,30,2
ARTICLE,other,Erratum,1,30,2
OTHER,other,Article,1,156,172
OTHER,article,Article,1,275,20273767
EDITORIAL,article,Letter,1,342,115700
EDITORIAL,article,Note,1,342,390783
EDITORIAL,preprint,Review,1,12,2163
EDITORIAL,review,Erratum,1,442,3880
ERRATUM,review,Editorial,1,848,4603
ERRATUM,review,Review,1,848,1043593
ERRATUM,other,Erratum,1,1,2
ARTICLE,article,Tombstone,1,22095178,14812
ARTICLE,letter,Article,1,632214,54667
ARTICLE,letter,Conference Paper,1,632214,247
ARTICLE,preprint,Article,1,19921,17060
ARTICLE,retraction,Article,1,8475,184
PARATEXT,paratext,Review,1,8059,334
LETTER,article,Note,1,26,390783
LETTER,article,Short Survey,1,26,59028
LETTER,erratum,Letter,1,6,223
LETTER,review,Editorial,1,322,4603
OTHER,article,Conference Paper,1,275,219781
OTHER,article,Short Survey,1,275,59028
OTHER,other,Conference Paper,1,156,1
OTHER,other,Editorial,1,156,2
OTHER,other,Review,1,156,7
PARATEXT,article,Editorial,1,721,222336
PARATEXT,article,Short Survey,1,721,59028
PARATEXT,article,Tombstone,1,721,14812
PARATEXT,editorial,Editorial,1,1,182107
REFERENCE-ENTRY,other,Review,1,1,7
OTHER,article,Review,1,275,699574
