ev_cat,number_of_articles
open (via crossref license)&open (via page says license),168255
oa repository (via OAI-PMH title and first author match),598313
open (via crossref license),303273
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),52991
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),98888
open (via free pdf),2064941
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),4291
open (via page says license),729059
oa journal (via doaj),266869
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via free pdf),4459
oa repository (via OAI-PMH title and first author match)&open (via free pdf),144219
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup),215194
oa repository (via OAI-PMH doi match),221678
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),10195
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via page says license),390785
oa journal (via doaj)&open (via page says license),522859
"open (via crossref license, author manuscript)",44921
oa repository (via OAI-PMH title and first author match)&open (via page says license),80039
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via page says license),212122
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),148755
oa journal (via doaj)&oa repository (via OAI-PMH doi match),15246
oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),128215
oa repository (via OAI-PMH title and first author match)&open (via crossref license),40182
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says license),26235
oa journal (via doaj)&open (via free pdf),107820
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),1059
open (via page says Open Access),28501
oa repository (via OAI-PMH title and last author match),10337
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via crossref license),10689
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),18848
oa repository (via OAI-PMH doi match)&open (via free pdf),97874
oa repository (via OAI-PMH title match)&oa repository (via pmcid lookup)&open (via page says license),391
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via pmcid lookup)&open (via free pdf),16404
oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via free pdf),9721
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),23362
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&open (via free pdf),23638
oa journal (via doaj)&open (via page says Open Access),8372
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match),10019
oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup)&open (via page says Open Access),3563
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&open (via page says license),71978
oa journal (via doaj)&oa repository (via OAI-PMH title match)&open (via page says license),3197
oa journal (via doaj)&oa repository (via OAI-PMH title and first author match),54871
oa journal (via doaj)&oa repository (via OAI-PMH doi match)&oa repository (via OAI-PMH title and first author match)&oa repository (via pmcid lookup),40657
oa repository (via OAI-PMH doi match)&open (via page says license),25855
