name,rd_total,ed_total,na_total,rd_pct,ed_pct,na_pct
Web of Science,18509469,1712755,1553547,0.8500029229734277,0.07865415801551806,0.07134291289832626
OpenAlex (before),21673833,101844,94,0.995318742101026,0.004676940960894244,4.3167241097132464e-06
OpenAlex (after),20874579,893523,7669,0.9586149211433203,0.041032896638436046,3.521803957225504e-4
